spot_id,payment_id,payment_app,name,address,street_side,neighborhood,municipality,type,ownership,lat,lon,pricing_summary,space_count,capacity,permit_zone,snow_emergency_tow,accessible,accessible_spaces,accessible_type,ev_charging,ev_charger_count,ev_network,source,source_date,last_updated,data_completeness
cambridge_meter_HAMP-0248,2507,PayByPhone,HAMP-0248,,unknown,Central Square,Cambridge,on_street_meter,public,42.37435331533402,-71.10164250162391,Mon-Sat 08:00-18:00 $1.25/hr (2 Hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0250,2507,PayByPhone,HAMP-0250,,unknown,Central Square,Cambridge,on_street_meter,public,42.37439621516592,-71.1016946038311,Mon-Sat 08:00-18:00 $1.25/hr (2 Hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0213,2504,PayByPhone,HAMP-0213,,unknown,Central Square,Cambridge,on_street_meter,public,42.37330846134479,-71.10022470936822,Mon-Sat 08:00-18:00 $1.25/hr (1 Hour max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0083,2497,PayByPhone,HAMP-0083,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.36852237552082,-71.09439111001792,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0085,2497,PayByPhone,HAMP-0085,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.36855809567063,-71.09444099888711,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0087,2497,PayByPhone,HAMP-0087,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.368594558345514,-71.09448532259033,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0089,2497,PayByPhone,HAMP-0089,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.3686344892339,-71.09453413849229,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HAMP-0029,1583,PayByPhone,HAMP-0029,,unknown,Kendall Square,Cambridge,on_street_meter,public,42.366049160233025,-71.09138156337814,Mon-Sat 11:00-20:00 $2.00/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_CAMB-0623,2490,PayByPhone,CAMB-0623,,unknown,East Cambridge,Cambridge,on_street_meter,public,42.37203290541596,-71.08725654846913,Mon-Sat 08:00-18:00 $1.25/hr,1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_UPLD-0004,2523,PayByPhone,UPLD-0004,,unknown,Porter Square,Cambridge,on_street_meter,public,42.38806927379312,-71.12003924516137,Mon-Sat 08:00-20:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
cambridge_meter_HOV-0020,2510,PayByPhone,HOV-0020,,unknown,Inman Square,Cambridge,on_street_meter,public,42.37570667396685,-71.1075928329368,Mon-Sat 08:00-18:00 $1.25/hr (2 Hours max),1,,,False,False,0,,False,,,cambridge_gis,2026-06-14,2026-06-14,partial
